PerformanceID,CampaignID,AdFormat,Impressions,Clicks,Cost,CampaignName,Objective,StartDate,EndDate,Budget,TargetGender,TargetAgeGroup,TargetInterests,AdPlatform,Company,CampaignDurationDays,CPM,CPC,CTR,CostPerDay,Year,Month,MonthNum
ADP-13,CAMP-201,Image Ad,343145,578,2966.82,Winter Traffic Campaign,Brand Awareness,7/3/2024,30/3/2024,219357.05,Female,35-44,"art, technology",Facebook,Alliant Energy,23,8.65,5.1329,0.168441912,128.9922,2024,Mar,3
ADP-14,CAMP-201,Story Ad,248272,956,2158.24,Winter Traffic Campaign,Brand Awareness,7/3/2024,30/3/2024,219357.05,Female,35-44,"art, technology",Facebook,Alliant Energy,23,8.69,2.2576,0.385061545,93.8365,2024,Mar,3
ADP-15,CAMP-201,Video Ad,162526,179,2474.35,Winter Traffic Campaign,Brand Awareness,7/3/2024,30/3/2024,219357.05,Female,35-44,"art, technology",Facebook,Alliant Energy,23,15.22,13.8232,0.110136224,107.5804,2024,Mar,3
ADP-16,CAMP-201,Image Ad,387287,795,4452.71,Winter Traffic Campaign,Brand Awareness,7/3/2024,30/3/2024,219357.05,Female,35-44,"art, technology",Facebook,Alliant Energy,23,11.5,5.6009,0.205274125,193.5961,2024,Mar,3
ADP-17,CAMP-201,Image Ad,107189,570,1041.07,Winter Traffic Campaign,Brand Awareness,7/3/2024,30/3/2024,219357.05,Female,35-44,"art, technology",Facebook,Alliant Energy,23,9.71,1.8264,0.531770984,45.2639,2024,Mar,3
ADP-18,CAMP-201,Image Ad,100456,1657,1179.46,Winter Traffic Campaign,Brand Awareness,7/3/2024,30/3/2024,219357.05,Female,35-44,"art, technology",Facebook,Alliant Energy,23,11.74,0.7118,1.649478379,51.2809,2024,Mar,3
ADP-19,CAMP-201,Story Ad,272373,573,3365.61,Winter Traffic Campaign,Brand Awareness,7/3/2024,30/3/2024,219357.05,Female,35-44,"art, technology",Facebook,Alliant Energy,23,12.36,5.8737,0.210373275,146.3309,2024,Mar,3
ADP-20,CAMP-201,Story Ad,498663,1528,3759.42,Winter Traffic Campaign,Brand Awareness,7/3/2024,30/3/2024,219357.05,Female,35-44,"art, technology",Facebook,Alliant Energy,23,7.54,2.4604,0.306419365,163.453,2024,Mar,3
ADP-21,CAMP-201,Image Ad,124783,713,1613.7,Winter Traffic Campaign,Brand Awareness,7/3/2024,30/3/2024,219357.05,Female,35-44,"art, technology",Facebook,Alliant Energy,23,12.93,2.2633,0.571391936,70.1609,2024,Mar,3
ADP-22,CAMP-201,Video Ad,293733,762,4564,Winter Traffic Campaign,Brand Awareness,7/3/2024,30/3/2024,219357.05,Female,35-44,"art, technology",Facebook,Alliant Energy,23,15.54,5.9895,0.259419269,198.4348,2024,Mar,3
ADP-23,CAMP-201,Video Ad,264983,1705,3500.86,Winter Traffic Campaign,Brand Awareness,7/3/2024,30/3/2024,219357.05,Female,35-44,"art, technology",Facebook,Alliant Energy,23,13.21,2.0533,0.643437504,152.2113,2024,Mar,3
ADP-24,CAMP-201,Carousel Ad,101479,1789,1109.46,Winter Traffic Campaign,Brand Awareness,7/3/2024,30/3/2024,219357.05,Female,35-44,"art, technology",Facebook,Alliant Energy,23,10.93,0.6202,1.76292632,48.2374,2024,Mar,3
ADP-25,CAMP-202,Video Ad,216748,1018,3455.68,Winter Engagement Campaign,Brand Awareness,1/1/2024,15/1/2024,321461.31,All,25-34,"travel, photography",Facebook,Navient,14,15.94,3.3946,0.469669847,246.8343,2024,Jan,1
ADP-26,CAMP-202,Video Ad,176109,555,2151.98,Winter Engagement Campaign,Brand Awareness,1/1/2024,15/1/2024,321461.31,All,25-34,"travel, photography",Facebook,Navient,14,12.22,3.8774,0.315145734,153.7129,2024,Jan,1
ADP-27,CAMP-202,Story Ad,663341,433,4312.27,Winter Engagement Campaign,Brand Awareness,1/1/2024,15/1/2024,321461.31,All,25-34,"travel, photography",Facebook,Navient,14,6.5,9.9591,0.065275627,308.0193,2024,Jan,1
ADP-28,CAMP-202,Video Ad,114723,1006,1236.75,Winter Engagement Campaign,Brand Awareness,1/1/2024,15/1/2024,321461.31,All,25-34,"travel, photography",Facebook,Navient,14,10.78,1.2294,0.876894781,88.3393,2024,Jan,1
ADP-29,CAMP-202,Image Ad,414803,1950,4673.99,Winter Engagement Campaign,Brand Awareness,1/1/2024,15/1/2024,321461.31,All,25-34,"travel, photography",Facebook,Navient,14,11.27,2.3969,0.470102675,333.8564,2024,Jan,1
ADP-30,CAMP-202,Image Ad,394520,340,3983.82,Winter Engagement Campaign,Brand Awareness,1/1/2024,15/1/2024,321461.31,All,25-34,"travel, photography",Facebook,Navient,14,10.1,11.7171,0.086180675,284.5586,2024,Jan,1
ADP-31,CAMP-202,Image Ad,159679,1229,1768.33,Winter Engagement Campaign,Brand Awareness,1/1/2024,15/1/2024,321461.31,All,25-34,"travel, photography",Facebook,Navient,14,11.07,1.4388,0.769669149,126.3093,2024,Jan,1
ADP-32,CAMP-202,Story Ad,106904,558,1062.69,Winter Engagement Campaign,Brand Awareness,1/1/2024,15/1/2024,321461.31,All,25-34,"travel, photography",Facebook,Navient,14,9.94,1.9045,0.521963631,75.9064,2024,Jan,1
ADP-33,CAMP-202,Image Ad,285190,1793,2787.42,Winter Engagement Campaign,Brand Awareness,1/1/2024,15/1/2024,321461.31,All,25-34,"travel, photography",Facebook,Navient,14,9.77,1.5546,0.628703671,199.1014,2024,Jan,1
ADP-34,CAMP-202,Carousel Ad,212985,189,3036.07,Winter Engagement Campaign,Brand Awareness,1/1/2024,15/1/2024,321461.31,All,25-34,"travel, photography",Facebook,Navient,14,14.25,16.0639,0.088738644,216.8621,2024,Jan,1
ADP-35,CAMP-202,Story Ad,396304,657,3187.91,Winter Engagement Campaign,Brand Awareness,1/1/2024,15/1/2024,321461.31,All,25-34,"travel, photography",Facebook,Navient,14,8.04,4.8522,0.165781824,227.7079,2024,Jan,1
ADP-36,CAMP-202,Carousel Ad,326058,519,3906.51,Winter Engagement Campaign,Brand Awareness,1/1/2024,15/1/2024,321461.31,All,25-34,"travel, photography",Facebook,Navient,14,11.98,7.527,0.159174135,279.0364,2024,Jan,1
ADP-37,CAMP-202,Story Ad,194271,854,2035.73,Winter Engagement Campaign,Brand Awareness,1/1/2024,15/1/2024,321461.31,All,25-34,"travel, photography",Facebook,Navient,14,10.48,2.3838,0.439592116,145.4093,2024,Jan,1
ADP-38,CAMP-202,Image Ad,362216,1551,3683.34,Winter Engagement Campaign,Brand Awareness,1/1/2024,15/1/2024,321461.31,All,25-34,"travel, photography",Facebook,Navient,14,10.17,2.3748,0.42819754,263.0957,2024,Jan,1
ADP-39,CAMP-202,Image Ad,410529,1698,4653.84,Winter Engagement Campaign,Brand Awareness,1/1/2024,15/1/2024,321461.31,All,25-34,"travel, photography",Facebook,Navient,14,11.34,2.7408,0.41361268,332.4171,2024,Jan,1
ADP-40,CAMP-203,Story Ad,335990,1833,4930.81,Summer Sales Campaign,Engagement,4/11/2024,4/12/2024,496029.95,All,25-34,technology,Instagram,CMS Energy,30,14.68,2.69,0.545551951,164.3603,2024,Nov,11
ADP-41,CAMP-203,Video Ad,80502,984,1547.86,Summer Sales Campaign,Engagement,4/11/2024,4/12/2024,496029.95,All,25-34,technology,Instagram,CMS Energy,30,19.23,1.573,1.22232988,51.5953,2024,Nov,11
ADP-42,CAMP-203,Image Ad,109689,485,1396.25,Summer Sales Campaign,Engagement,4/11/2024,4/12/2024,496029.95,All,25-34,technology,Instagram,CMS Energy,30,12.73,2.8789,0.442159196,46.5417,2024,Nov,11
ADP-43,CAMP-203,Video Ad,241948,685,3960.06,Summer Sales Campaign,Engagement,4/11/2024,4/12/2024,496029.95,All,25-34,technology,Instagram,CMS Energy,30,16.37,5.7811,0.283118687,132.002,2024,Nov,11
ADP-44,CAMP-203,Image Ad,130131,290,1814.94,Summer Sales Campaign,Engagement,4/11/2024,4/12/2024,496029.95,All,25-34,technology,Instagram,CMS Energy,30,13.95,6.2584,0.222852356,60.498,2024,Nov,11
ADP-45,CAMP-203,Video Ad,117229,1058,1814.57,Summer Sales Campaign,Engagement,4/11/2024,4/12/2024,496029.95,All,25-34,technology,Instagram,CMS Energy,30,15.48,1.7151,0.902507059,60.4857,2024,Nov,11
ADP-46,CAMP-203,Carousel Ad,124468,1896,1901.92,Summer Sales Campaign,Engagement,4/11/2024,4/12/2024,496029.95,All,25-34,technology,Instagram,CMS Energy,30,15.28,1.0031,1.523283093,63.3973,2024,Nov,11
ADP-47,CAMP-203,Story Ad,204039,1074,2459.8,Summer Sales Campaign,Engagement,4/11/2024,4/12/2024,496029.95,All,25-34,technology,Instagram,CMS Energy,30,12.06,2.2903,0.526369959,81.9933,2024,Nov,11
ADP-48,CAMP-203,Image Ad,150323,1168,2087.97,Summer Sales Campaign,Engagement,4/11/2024,4/12/2024,496029.95,All,25-34,technology,Instagram,CMS Energy,30,13.89,1.7876,0.776993541,69.599,2024,Nov,11
ADP-49,CAMP-203,Story Ad,196388,907,2945.09,Summer Sales Campaign,Engagement,4/11/2024,4/12/2024,496029.95,All,25-34,technology,Instagram,CMS Energy,30,15,3.2471,0.461840846,98.1697,2024,Nov,11
ADP-50,CAMP-203,Story Ad,240644,1685,3250.29,Summer Sales Campaign,Engagement,4/11/2024,4/12/2024,496029.95,All,25-34,technology,Instagram,CMS Energy,30,13.51,1.929,0.700204451,108.343,2024,Nov,11
ADP-51,CAMP-203,Image Ad,217724,1816,3124.54,Summer Sales Campaign,Engagement,4/11/2024,4/12/2024,496029.95,All,25-34,technology,Instagram,CMS Energy,30,14.35,1.7206,0.834083519,104.1513,2024,Nov,11
ADP-52,CAMP-203,Story Ad,379144,355,4797.04,Summer Sales Campaign,Engagement,4/11/2024,4/12/2024,496029.95,All,25-34,technology,Instagram,CMS Energy,30,12.65,13.5128,0.093631971,159.9013,2024,Nov,11
ADP-53,CAMP-203,Story Ad,229504,534,2976.3,Summer Sales Campaign,Engagement,4/11/2024,4/12/2024,496029.95,All,25-34,technology,Instagram,CMS Energy,30,12.97,5.5736,0.232675683,99.21,2024,Nov,11
ADP-54,CAMP-203,Video Ad,149873,1537,3090.39,Summer Sales Campaign,Engagement,4/11/2024,4/12/2024,496029.95,All,25-34,technology,Instagram,CMS Energy,30,20.62,2.0107,1.025534953,103.013,2024,Nov,11
ADP-55,CAMP-203,Story Ad,264566,718,3985.48,Summer Sales Campaign,Engagement,4/11/2024,4/12/2024,496029.95,All,25-34,technology,Instagram,CMS Energy,30,15.06,5.5508,0.271387858,132.8493,2024,Nov,11
ADP-56,CAMP-203,Video Ad,162508,1142,3031.57,Summer Sales Campaign,Engagement,4/11/2024,4/12/2024,496029.95,All,25-34,technology,Instagram,CMS Energy,30,18.65,2.6546,0.702734635,101.0523,2024,Nov,11
ADP-57,CAMP-203,Image Ad,107811,1346,1439.9,Summer Sales Campaign,Engagement,4/11/2024,4/12/2024,496029.95,All,25-34,technology,Instagram,CMS Energy,30,13.36,1.0698,1.248481138,47.9967,2024,Nov,11
ADP-58,CAMP-203,Story Ad,304401,165,4721.32,Summer Sales Campaign,Engagement,4/11/2024,4/12/2024,496029.95,All,25-34,technology,Instagram,CMS Energy,30,15.51,28.6141,0.054204815,157.3773,2024,Nov,11
ADP-59,CAMP-203,Carousel Ad,110228,512,1642.26,Summer Sales Campaign,Engagement,4/11/2024,4/12/2024,496029.95,All,25-34,technology,Instagram,CMS Energy,30,14.9,3.2075,0.464491781,54.742,2024,Nov,11
ADP-60,CAMP-203,Carousel Ad,266029,1438,4279.61,Summer Sales Campaign,Engagement,4/11/2024,4/12/2024,496029.95,All,25-34,technology,Instagram,CMS Energy,30,16.09,2.9761,0.540542572,142.6537,2024,Nov,11
ADP-61,CAMP-203,Video Ad,52592,908,1101.14,Summer Sales Campaign,Engagement,4/11/2024,4/12/2024,496029.95,All,25-34,technology,Instagram,CMS Energy,30,20.94,1.2127,1.726498327,36.7047,2024,Nov,11
ADP-62,CAMP-203,Story Ad,256747,1462,3856.34,Summer Sales Campaign,Engagement,4/11/2024,4/12/2024,496029.95,All,25-34,technology,Instagram,CMS Energy,30,15.02,2.6377,0.569432165,128.5447,2024,Nov,11
ADP-63,CAMP-203,Image Ad,82806,1107,1265.68,Summer Sales Campaign,Engagement,4/11/2024,4/12/2024,496029.95,All,25-34,technology,Instagram,CMS Energy,30,15.28,1.1433,1.336859648,42.1893,2024,Nov,11
ADP-64,CAMP-203,Video Ad,166756,1628,3186.34,Summer Sales Campaign,Engagement,4/11/2024,4/12/2024,496029.95,All,25-34,technology,Instagram,CMS Energy,30,19.11,1.9572,0.976276716,106.2113,2024,Nov,11
ADP-65,CAMP-203,Video Ad,235528,1176,4724.03,Summer Sales Campaign,Engagement,4/11/2024,4/12/2024,496029.95,All,25-34,technology,Instagram,CMS Energy,30,20.06,4.017,0.499303692,157.4677,2024,Nov,11
ADP-66,CAMP-203,Carousel Ad,244178,270,4460.66,Summer Sales Campaign,Engagement,4/11/2024,4/12/2024,496029.95,All,25-34,technology,Instagram,CMS Energy,30,18.27,16.521,0.110575072,148.6887,2024,Nov,11
ADP-67,CAMP-203,Video Ad,240022,1982,3930.2,Summer Sales Campaign,Engagement,4/11/2024,4/12/2024,496029.95,All,25-34,technology,Instagram,CMS Energy,30,16.37,1.9829,0.825757639,131.0067,2024,Nov,11
ADP-68,CAMP-203,Image Ad,125950,867,1594.6,Summer Sales Campaign,Engagement,4/11/2024,4/12/2024,496029.95,All,25-34,technology,Instagram,CMS Energy,30,12.66,1.8392,0.6883684,53.1533,2024,Nov,11
ADP-69,CAMP-203,Carousel Ad,218563,1230,3439.09,Summer Sales Campaign,Engagement,4/11/2024,4/12/2024,496029.95,All,25-34,technology,Instagram,CMS Energy,30,15.74,2.796,0.5627668,114.6363,2024,Nov,11
ADP-70,CAMP-203,Carousel Ad,320579,639,4960.19,Summer Sales Campaign,Engagement,4/11/2024,4/12/2024,496029.95,All,25-34,technology,Instagram,CMS Energy,30,15.47,7.7624,0.199326843,165.3397,2024,Nov,11
ADP-71,CAMP-204,Image Ad,265975,1862,2218.05,Q3 Traffic Campaign,Traffic,6/5/2024,25/5/2024,179457.21,Female,25-34,news,Facebook,CMS Energy,19,8.34,1.1912,0.700065796,116.7395,2024,May,5
ADP-72,CAMP-204,Carousel Ad,121055,1083,1774.36,Q3 Traffic Campaign,Traffic,6/5/2024,25/5/2024,179457.21,Female,25-34,news,Facebook,CMS Energy,19,14.66,1.6384,0.89463467,93.3874,2024,May,5
ADP-73,CAMP-204,Image Ad,316316,168,3774.41,Q3 Traffic Campaign,Traffic,6/5/2024,25/5/2024,179457.21,Female,25-34,news,Facebook,CMS Energy,19,11.93,22.4667,0.053111446,198.6532,2024,May,5
ADP-74,CAMP-204,Story Ad,485637,344,3830.74,Q3 Traffic Campaign,Traffic,6/5/2024,25/5/2024,179457.21,Female,25-34,news,Facebook,CMS Energy,19,7.89,11.1359,0.0708348,201.6179,2024,May,5
ADP-75,CAMP-204,Image Ad,311707,772,3347.54,Q3 Traffic Campaign,Traffic,6/5/2024,25/5/2024,179457.21,Female,25-34,news,Facebook,CMS Energy,19,10.74,4.3362,0.247668484,176.1863,2024,May,5
ADP-76,CAMP-204,Image Ad,309691,372,2891.41,Q3 Traffic Campaign,Traffic,6/5/2024,25/5/2024,179457.21,Female,25-34,news,Facebook,CMS Energy,19,9.34,7.7726,0.120119732,152.1795,2024,May,5
ADP-77,CAMP-204,Story Ad,387712,624,4453.76,Q3 Traffic Campaign,Traffic,6/5/2024,25/5/2024,179457.21,Female,25-34,news,Facebook,CMS Energy,19,11.49,7.1374,0.160944206,234.4084,2024,May,5
ADP-78,CAMP-204,Image Ad,290823,273,2814.53,Q3 Traffic Campaign,Traffic,6/5/2024,25/5/2024,179457.21,Female,25-34,news,Facebook,CMS Energy,19,9.68,10.3096,0.09387153,148.1332,2024,May,5
ADP-79,CAMP-204,Story Ad,651936,1319,4947.73,Q3 Traffic Campaign,Traffic,6/5/2024,25/5/2024,179457.21,Female,25-34,news,Facebook,CMS Energy,19,7.59,3.7511,0.202320473,260.4068,2024,May,5
ADP-80,CAMP-204,Story Ad,387008,871,2894.73,Q3 Traffic Campaign,Traffic,6/5/2024,25/5/2024,179457.21,Female,25-34,news,Facebook,CMS Energy,19,7.48,3.3235,0.225059947,152.3542,2024,May,5
ADP-81,CAMP-204,Story Ad,223244,653,2091.4,Q3 Traffic Campaign,Traffic,6/5/2024,25/5/2024,179457.21,Female,25-34,news,Facebook,CMS Energy,19,9.37,3.2028,0.292505062,110.0737,2024,May,5
ADP-82,CAMP-204,Story Ad,306200,1164,2319.91,Q3 Traffic Campaign,Traffic,6/5/2024,25/5/2024,179457.21,Female,25-34,news,Facebook,CMS Energy,19,7.58,1.993,0.380143697,122.1005,2024,May,5
ADP-83,CAMP-204,Carousel Ad,347991,236,4352.51,Q3 Traffic Campaign,Traffic,6/5/2024,25/5/2024,179457.21,Female,25-34,news,Facebook,CMS Energy,19,12.51,18.4428,0.067817846,229.0795,2024,May,5
ADP-84,CAMP-204,Carousel Ad,117539,1776,1691.04,Q3 Traffic Campaign,Traffic,6/5/2024,25/5/2024,179457.21,Female,25-34,news,Facebook,CMS Energy,19,14.39,0.9522,1.510987842,89.0021,2024,May,5
ADP-85,CAMP-204,Carousel Ad,321775,1501,3667.08,Q3 Traffic Campaign,Traffic,6/5/2024,25/5/2024,179457.21,Female,25-34,news,Facebook,CMS Energy,19,11.4,2.4431,0.466475021,193.0042,2024,May,5
ADP-86,CAMP-204,Image Ad,235498,1883,1974.5,Q3 Traffic Campaign,Traffic,6/5/2024,25/5/2024,179457.21,Female,25-34,news,Facebook,CMS Energy,19,8.38,1.0486,0.799582162,103.9211,2024,May,5
ADP-87,CAMP-204,Video Ad,255655,464,4290.86,Q3 Traffic Campaign,Traffic,6/5/2024,25/5/2024,179457.21,Female,25-34,news,Facebook,CMS Energy,19,16.78,9.2475,0.181494592,225.8347,2024,May,5
ADP-88,CAMP-204,Carousel Ad,411548,748,4962.11,Q3 Traffic Campaign,Traffic,6/5/2024,25/5/2024,179457.21,Female,25-34,news,Facebook,CMS Energy,19,12.06,6.6338,0.181752797,261.1637,2024,May,5
ADP-89,CAMP-204,Image Ad,299630,776,2304.43,Q3 Traffic Campaign,Traffic,6/5/2024,25/5/2024,179457.21,Female,25-34,news,Facebook,CMS Energy,19,7.69,2.9696,0.258986083,121.2858,2024,May,5
ADP-90,CAMP-204,Video Ad,439619,259,4620.83,Q3 Traffic Campaign,Traffic,6/5/2024,25/5/2024,179457.21,Female,25-34,news,Facebook,CMS Energy,19,10.51,17.841,0.058914651,243.2016,2024,May,5
ADP-91,CAMP-205,Carousel Ad,283598,917,3116.6,Q3 Engagement Campaign,Brand Awareness,28/2/2024,17/3/2024,415656.33,Female,25-34,news,Instagram,CMS Energy,18,10.99,3.3987,0.323345017,173.1444,2024,Feb,2
ADP-92,CAMP-205,Carousel Ad,334752,628,4926.76,Q3 Engagement Campaign,Brand Awareness,28/2/2024,17/3/2024,415656.33,Female,25-34,news,Instagram,CMS Energy,18,14.72,7.8452,0.187601568,273.7089,2024,Feb,2
ADP-93,CAMP-205,Carousel Ad,84716,155,1347.25,Q3 Engagement Campaign,Brand Awareness,28/2/2024,17/3/2024,415656.33,Female,25-34,news,Instagram,CMS Energy,18,15.9,8.6919,0.182964257,74.8472,2024,Feb,2
ADP-94,CAMP-205,Video Ad,150047,542,2204.62,Q3 Engagement Campaign,Brand Awareness,28/2/2024,17/3/2024,415656.33,Female,25-34,news,Instagram,CMS Energy,18,14.69,4.0676,0.361220151,122.4789,2024,Feb,2
ADP-95,CAMP-205,Carousel Ad,152056,1305,1620.53,Q3 Engagement Campaign,Brand Awareness,28/2/2024,17/3/2024,415656.33,Female,25-34,news,Instagram,CMS Energy,18,10.66,1.2418,0.858236439,90.0294,2024,Feb,2
ADP-96,CAMP-205,Carousel Ad,189133,819,2448.83,Q3 Engagement Campaign,Brand Awareness,28/2/2024,17/3/2024,415656.33,Female,25-34,news,Instagram,CMS Energy,18,12.95,2.99,0.433028609,136.0461,2024,Feb,2
ADP-97,CAMP-205,Story Ad,103781,1167,1491.56,Q3 Engagement Campaign,Brand Awareness,28/2/2024,17/3/2024,415656.33,Female,25-34,news,Instagram,CMS Energy,18,14.37,1.2781,1.124483287,82.8644,2024,Feb,2
ADP-98,CAMP-205,Image Ad,281774,663,3350.91,Q3 Engagement Campaign,Brand Awareness,28/2/2024,17/3/2024,415656.33,Female,25-34,news,Instagram,CMS Energy,18,11.89,5.0542,0.235294953,186.1617,2024,Feb,2
ADP-99,CAMP-205,Video Ad,84213,941,1597.91,Q3 Engagement Campaign,Brand Awareness,28/2/2024,17/3/2024,415656.33,Female,25-34,news,Instagram,CMS Energy,18,18.97,1.6981,1.117404676,88.7728,2024,Feb,2
ADP-100,CAMP-205,Video Ad,59129,1850,1071.08,Q3 Engagement Campaign,Brand Awareness,28/2/2024,17/3/2024,415656.33,Female,25-34,news,Instagram,CMS Energy,18,18.11,0.579,3.128752389,59.5044,2024,Feb,2
ADP-101,CAMP-205,Carousel Ad,134071,1144,1378.61,Q3 Engagement Campaign,Brand Awareness,28/2/2024,17/3/2024,415656.33,Female,25-34,news,Instagram,CMS Energy,18,10.28,1.2051,0.853279233,76.5894,2024,Feb,2
ADP-102,CAMP-205,Video Ad,78054,1272,1328.62,Q3 Engagement Campaign,Brand Awareness,28/2/2024,17/3/2024,415656.33,Female,25-34,news,Instagram,CMS Energy,18,17.02,1.0445,1.629641018,73.8122,2024,Feb,2
ADP-103,CAMP-205,Carousel Ad,169817,591,2565.66,Q3 Engagement Campaign,Brand Awareness,28/2/2024,17/3/2024,415656.33,Female,25-34,news,Instagram,CMS Energy,18,15.11,4.3412,0.348021694,142.5367,2024,Feb,2
ADP-104,CAMP-205,Image Ad,309000,545,3690.7,Q3 Engagement Campaign,Brand Awareness,28/2/2024,17/3/2024,415656.33,Female,25-34,news,Instagram,CMS Energy,18,11.94,6.7719,0.176375405,205.0389,2024,Feb,2
ADP-105,CAMP-205,Video Ad,81279,1287,1095.75,Q3 Engagement Campaign,Brand Awareness,28/2/2024,17/3/2024,415656.33,Female,25-34,news,Instagram,CMS Energy,18,13.48,0.8514,1.583434836,60.875,2024,Feb,2
ADP-106,CAMP-205,Story Ad,228401,1485,2698.55,Q3 Engagement Campaign,Brand Awareness,28/2/2024,17/3/2024,415656.33,Female,25-34,news,Instagram,CMS Energy,18,11.81,1.8172,0.650172285,149.9194,2024,Feb,2
ADP-107,CAMP-205,Video Ad,362105,1062,4443.07,Q3 Engagement Campaign,Brand Awareness,28/2/2024,17/3/2024,415656.33,Female,25-34,news,Instagram,CMS Energy,18,12.27,4.1837,0.293285097,246.8372,2024,Feb,2
ADP-108,CAMP-205,Story Ad,297005,1906,3068.16,Q3 Engagement Campaign,Brand Awareness,28/2/2024,17/3/2024,415656.33,Female,25-34,news,Instagram,CMS Energy,18,10.33,1.6097,0.641740038,170.4533,2024,Feb,2
ADP-109,CAMP-205,Story Ad,238781,405,2499.28,Q3 Engagement Campaign,Brand Awareness,28/2/2024,17/3/2024,415656.33,Female,25-34,news,Instagram,CMS Energy,18,10.47,6.1711,0.169611485,138.8489,2024,Feb,2
ADP-110,CAMP-206,Carousel Ad,268340,1699,3030.15,Q3 Lead Generation Campaign,Reach,17/11/2024,9/12/2024,190934.65,Male,25-34,"finance, health",Facebook,Northwestern Mutual,22,11.29,1.7835,0.633151971,137.7341,2024,Nov,11
ADP-111,CAMP-206,Image Ad,476183,781,4287.28,Q3 Lead Generation Campaign,Reach,17/11/2024,9/12/2024,190934.65,Male,25-34,"finance, health",Facebook,Northwestern Mutual,22,9,5.4895,0.164012575,194.8764,2024,Nov,11
ADP-112,CAMP-206,Story Ad,764200,1434,4344.67,Q3 Lead Generation Campaign,Reach,17/11/2024,9/12/2024,190934.65,Male,25-34,"finance, health",Facebook,Northwestern Mutual,22,5.69,3.0298,0.187647213,197.485,2024,Nov,11
ADP-113,CAMP-206,Carousel Ad,455727,857,4216.68,Q3 Lead Generation Campaign,Reach,17/11/2024,9/12/2024,190934.65,Male,25-34,"finance, health",Facebook,Northwestern Mutual,22,9.25,4.9203,0.18805118,191.6673,2024,Nov,11
ADP-114,CAMP-206,Video Ad,541101,160,4812.16,Q3 Lead Generation Campaign,Reach,17/11/2024,9/12/2024,190934.65,Male,25-34,"finance, health",Facebook,Northwestern Mutual,22,8.89,30.076,0.029569341,218.7345,2024,Nov,11
